AGIs,genes,clust
AT3G02555,AT3G02555,13
AT3G03450,RGL2,44
AT3G03530,NPC4,32
AT3G04630,WDL1,33
AT3G05320,AT3G05320,35
AT3G06850,BCE2,5
AT3G08970,ATERDJ3A,33
AT3G10020,AT3G10020,18
AT3G10960,AZG1,33
AT3G12500,HCHIB,34
AT3G13430,AT3G13430,13
AT3G13480,AT3G13480,2
AT3G13600,AT3G13600,47
AT3G13650,AT3G13650,13
AT3G14225,GLIP4,48
AT3G14260,AT3G14260,6
AT3G14362,RTFL10,44
AT3G14440,NCED3,33
AT3G15356,AT3G15356,31
AT3G15370,EXPA12,27
AT3G15450,AT3G15450,45
AT3G15540,IAA19,39
AT3G15630,AT3G15630,39
AT3G15810,AT3G15810,47
AT3G16390,NSP3,43
AT3G16470,JR1,11
AT3G16800,AT3G16800,33
AT3G18200,UMAMIT4,24
AT3G18710,PUB29,11
AT3G20340,AT3G20340,22
AT3G20860,NEK5,32
AT3G21560,UGT84A2,6
AT3G21690,AT3G21690,13
AT3G21720,ICL,44
AT3G22060,AT3G22060,1
AT3G22070,AT3G22070,32
AT3G22250,AT3G22250,29
AT3G22740,HMT3,41
AT3G22840,ELIP1,42
AT3G23150,ETR2,36
AT3G23880,AT3G23880,40
AT3G24517,AT3G24517,13
AT3G24520,HSFC1,14
AT3G25700,AT3G25700,8
AT3G26290,CYP71B26,30
AT3G26460,AT3G26460,19
AT3G26550,AT3G26550,8
AT3G28160,AT3G28160,6
AT3G30775,ERD5,44
AT3G44300,NIT2,30
AT3G44326,AT3G44326,19
AT3G44735,PSK3,14
AT3G45060,NRT2.6,1
AT3G45300,IVD,17
AT3G45660,AT3G45660,36
AT3G45700,AT3G45700,11
AT3G45730,AT3G45730,35
AT3G46690,AT3G46690,21
AT3G46900,COPT2,39
AT3G47340,ASN1,6
AT3G47380,AT3G47380,12
AT3G47500,CDF3,22
AT3G47820,PUB39,24
AT3G47960,GTR1,19
AT3G48100,RR5,32
AT3G48240,AT3G48240,35
AT3G48360,BT2,46
AT3G48390,AT3G48390,22
AT3G48740,SWEET11,11
AT3G49120,PRXCB,12
AT3G49420,AT3G49420,5
AT3G49750,RLP44,3
AT3G49790,AT3G49790,33
AT3G50070,CYCD3;3,38
AT3G50140,AT3G50140,29
AT3G50300,AT3G50300,31
AT3G50740,UGT72E1,1
AT3G50760,GATL2,21
AT3G51680,SDR2,45
AT3G51910,HSFA7A,2
AT3G52170,AT3G52170,5
AT3G53720,CHX20,1
AT3G54590,HRGP1,43
AT3G54710,CDT1B,40
AT3G54880,AT3G54880,8
AT3G54950,pPLAIIIbeta,33
AT3G55720,AT3G55720,6
AT3G56980,bHLH39,22
AT3G57040,ARR9,32
AT3G57520,SIP2,23
AT3G58990,IPMI1,11
AT3G59110,AT3G59110,32
AT3G59850,AT3G59850,41
AT3G59930,AT3G59930,15
AT3G60140,DIN2,11
AT3G61220,SDR1,15
AT4G01250,WRKY22,45
AT4G01720,WRKY47,48
AT4G02330,ATPMEPCRB,34
AT4G03100,AT4G03100,26
AT4G03210,XTH9,26
AT4G03600,AT4G03600,24
AT4G03610,AT4G03610,31
AT4G04450,WRKY42,12
AT4G04830,MSRB5,4
AT4G04840,MSRB6,31
AT4G08400,AT4G08400,9
AT4G08410,AT4G08410,9
AT4G10350,NAC070,1
AT4G10370,AT4G10370,29
AT4G11060,MTSSB,5
AT4G11320,AT4G11320,3
AT4G14040,SBP2,4
AT4G14690,ELIP2,44
AT4G14740,AT4G14740,26
AT4G15230,ABCG30,29
AT4G15393,CYP702A5,1
AT4G15530,PPDK,44
AT4G16370,OPT3,3
AT4G16480,INT4,45
AT4G18340,AT4G18340,22
AT4G19690,IRT1,12
AT4G20000,AT4G20000,21
AT4G21200,GA2OX8,6
AT4G21840,MSRB8,31
AT4G23550,WRKY29,13
AT4G23670,AT4G23670,6
AT4G25100,FSD1,30
AT4G25400,AT4G25400,19
AT4G25410,AT4G25410,11
AT4G26260,MIOX4,44
AT4G27450,AT4G27450,45
AT4G28040,UMAMIT33,6
AT4G28640,IAA11,32
AT4G28840,AT4G28840,19
AT4G28850,XTH26,43
AT4G29310,AT4G29310,6
AT4G30280,XTH18,48
AT4G30290,XTH19,29
AT4G31500,CYP83B1,23
AT4G31940,CYP82C4,45
AT4G32460,AT4G32460,6
AT4G32480,AT4G32480,31
AT4G32950,AT4G32950,32
AT4G33050,EDA39,31
AT4G33070,AT4G33070,13
AT4G33260,CDC20.2,40
AT4G33610,AT4G33610,13
AT4G34810,AT4G34810,24
AT4G34830,MRL1,14
AT4G35160,AT4G35160,13
AT4G35200,AT4G35200,29
AT4G35210,AT4G35210,29
AT4G35770,SEN1,1
AT4G36040,J11,47
AT4G36880,CP1,22
AT4G37150,MES9,3
AT4G37610,BT5,42
AT4G38470,STY46,7
AT4G39070,BZS1,31
AT4G39660,AGT2,17
AT4G39780,AT4G39780,42
AT4G39940,AKN2,19
AT4G39950,CYP79B2,23
AT4G40070,AT4G40070,45
AT5G01210,AT5G01210,6
AT5G01840,OFP1,22
AT5G02780,GSTL1,13
AT5G04120,AT5G04120,4
AT5G04310,AT5G04310,45
AT5G04950,NAS1,24
AT5G05060,AT5G05060,26
AT5G05090,AT5G05090,24
AT5G05250,AT5G05250,22
AT5G06300,LOG7,34
AT5G06860,PGIP1,29
AT5G06980,AT5G06980,23
AT5G07100,WRKY26,35
AT5G07990,TT7,6
AT5G08350,AT5G08350,22
AT5G10510,AIL6,26
AT5G10900,AT5G10900,40
AT5G10990,AT5G10990,8
AT5G11420,AT5G11420,6
AT5G12900,AT5G12900,20
AT5G13630,GUN5,6
AT5G13870,XTH5,12
AT5G13910,LEP,20
AT5G14470,AT5G14470,35
AT5G15130,WRKY72,41
AT5G16370,AAE5,1
AT5G17040,AT5G17040,24
AT5G18670,BMY3,19
AT5G19100,AT5G19100,45
AT5G19120,AT5G19120,42
AT5G19240,AT5G19240,13
AT5G19530,ACL5,40
AT5G20250,DIN10,14
AT5G21100,AT5G21100,15
AT5G21120,EIL2,16
AT5G21940,AT5G21940,2
AT5G22570,WRKY38,1
AT5G22890,AT5G22890,29
AT5G22920,AT5G22920,2
AT5G23360,AT5G23360,22
AT5G23980,FRO4,16
AT5G23990,FRO5,16
AT5G24570,AT5G24570,10
AT5G25240,AT5G25240,4
AT5G25250,FLOT1,37
AT5G25350,EBF2,13
AT5G25630,AT5G25630,44
AT5G26740,AT5G26740,2
AT5G28770,BZO2H3,37
AT5G37800,RSL1,43
AT5G37990,AT5G37990,33
AT5G38020,AT5G38020,24
AT5G38710,AT5G38710,47
AT5G39760,HB23,32
AT5G40390,SIP1,33
AT5G41080,GDPD2,18
AT5G42030,ABIL4,13
AT5G44410,AT5G44410,11
AT5G44660,AT5G44660,22
AT5G46730,AT5G46730,11
AT5G47060,AT5G47060,32
AT5G47240,NUDT8,13
AT5G47940,AT5G47940,24
